category_id,category_name,category_description,parent_category_id,level
cat1-3-1,Unmanned Surface Vessels,"This micro-category is a specific startup lane under Maritime Autonomous Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-3,3
cat1-3-2,Autonomous Underwater Vehicles,"This micro-category is a specific startup lane under Maritime Autonomous Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-3,3
cat1-3-3,Port & Coastal Security Drones,"This micro-category is a specific startup lane under Maritime Autonomous Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-3,3
cat10,Hypersonic & Advanced Propulsion,This category includes startups working on advanced propulsion and hypersonic technologies. Innovations focus on high-speed flight systems and next-generation missile technologies. Research areas include materials resilience and propulsion efficiency. Some technologies extend to aerospace and commercial space travel. The sector is highly strategic and technologically demanding. Advanced propulsion is central to maintaining defense superiority.,,1
cat10-1,Hypersonic Vehicles,"This sub-category sits within Hypersonic & Advanced Propulsion and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat10,2
cat10-1-1,Glide Vehicles,"This micro-category is a specific startup lane under Hypersonic Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-1,3
cat10-1-2,Hypersonic Cruise Systems,"This micro-category is a specific startup lane under Hypersonic Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-1,3
cat10-1-3,Advanced Control Systems,"This micro-category is a specific startup lane under Hypersonic Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-1,3
cat10-2,Advanced Propulsion Systems,"This sub-category sits within Hypersonic & Advanced Propulsion and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat10,2
cat10-2-1,Scramjet Technologies,"This micro-category is a specific startup lane under Advanced Propulsion Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-2,3
cat10-2-2,Electric Propulsion,"This micro-category is a specific startup lane under Advanced Propulsion Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-2,3
cat10-2-3,High-Efficiency Turbines,"This micro-category is a specific startup lane under Advanced Propulsion Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-2,3
cat10-3,Advanced Materials & Heat Shielding,"This sub-category sits within Hypersonic & Advanced Propulsion and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat10,2
cat10-3-1,Thermal Protection Systems,"This micro-category is a specific startup lane under Advanced Materials & Heat Shielding. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-3,3
cat10-3-2,High-Temperature Alloys,"This micro-category is a specific startup lane under Advanced Materials & Heat Shielding. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-3,3
cat10-3-3,Composite Structural Materials,"This micro-category is a specific startup lane under Advanced Materials & Heat Shielding. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat10-3,3
cat11,Border & Homeland Security Tech,"Border and homeland security startups develop surveillance and monitoring solutions. Technologies include biometric systems, perimeter detection, and smart fencing. AI enhances anomaly detection across large geographic areas. Civilian agencies and infrastructure operators also adopt these tools. The solutions bridge military and domestic security use cases. The category enhances national resilience and threat prevention.",,1
cat11-1,Smart Border Systems,"This sub-category sits within Border & Homeland Security Tech and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat11,2
cat11-1-1,Perimeter Detection Sensors,"This micro-category is a specific startup lane under Smart Border Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-1,3
cat11-1-2,Smart Fencing Systems,"This micro-category is a specific startup lane under Smart Border Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-1,3
cat11-1-3,Automated Patrol Systems,"This micro-category is a specific startup lane under Smart Border Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-1,3
cat11-2,Biometric & Identity Systems,"This sub-category sits within Border & Homeland Security Tech and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat11,2
cat11-2-1,Facial Recognition,"This micro-category is a specific startup lane under Biometric & Identity Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-2,3
cat11-2-2,Multimodal Biometrics,"This micro-category is a specific startup lane under Biometric & Identity Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-2,3
cat11-2-3,Secure Identity Verification,"This micro-category is a specific startup lane under Biometric & Identity Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-2,3
cat11-3,Critical Infrastructure Protection,"This sub-category sits within Border & Homeland Security Tech and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat11,2
cat11-3-1,Facility Surveillance Systems,"This micro-category is a specific startup lane under Critical Infrastructure Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-3,3
cat11-3-2,Intrusion Detection Platforms,"This micro-category is a specific startup lane under Critical Infrastructure Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-3,3
cat11-3-3,Resilience Monitoring Systems,"This micro-category is a specific startup lane under Critical Infrastructure Protection. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat11-3,3
cat12,Defense Simulation & Training,"Defense simulation startups build training environments using VR, AR, and digital twins. These tools allow military personnel to train in realistic virtual scenarios. Simulation reduces costs and risk compared to live exercises. AI-driven feedback enhances training outcomes. Similar systems are applied in aviation and emergency response training. The category supports readiness and operational preparedness.",,1
cat12-1,Virtual & Augmented Training,"This sub-category sits within Defense Simulation & Training and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat12,2
cat12-1-1,VR Combat Simulation,"This micro-category is a specific startup lane under Virtual & Augmented Training. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-1,3
cat12-1-2,AR Maintenance Training,"This micro-category is a specific startup lane under Virtual & Augmented Training. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-1,3
cat12-1-3,Immersive Tactical Scenarios,"This micro-category is a specific startup lane under Virtual & Augmented Training. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-1,3
cat12-2,Digital Twin Systems,"This sub-category sits within Defense Simulation & Training and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat12,2
cat12-2-1,Platform Digital Twins,"This micro-category is a specific startup lane under Digital Twin Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-2,3
cat12-2-2,Operational Scenario Modeling,"This micro-category is a specific startup lane under Digital Twin Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-2,3
cat12-2-3,Infrastructure Simulation,"This micro-category is a specific startup lane under Digital Twin Systems. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-2,3
cat12-3,AI-Driven Training Analytics,"This sub-category sits within Defense Simulation & Training and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat12,2
cat12-3-1,Performance Analytics,"This micro-category is a specific startup lane under AI-Driven Training Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-3,3
cat12-3-2,Adaptive Training Engines,"This micro-category is a specific startup lane under AI-Driven Training Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-3,3
cat12-3-3,Mission Debrief Systems,"This micro-category is a specific startup lane under AI-Driven Training Analytics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat12-3,3
cat13,Secure Embedded Systems & Avionics,Startups in secure embedded systems develop hardened avionics and mission-critical hardware. Solutions ensure reliability under extreme environmental and cyber conditions. Companies focus on secure processors and trusted hardware modules. Integration with aircraft and armored platforms is common. Civil aerospace also benefits from similar innovations. Secure hardware foundations are essential for advanced defense systems.,,1
cat13-1,Hardened Avionics,"This sub-category sits within Secure Embedded Systems & Avionics and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat13,2
cat13-1-1,Secure Flight Control Systems,"This micro-category is a specific startup lane under Hardened Avionics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-1,3
cat13-1-2,Military-Grade Navigation Systems,"This micro-category is a specific startup lane under Hardened Avionics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-1,3
cat13-1-3,Redundant Control Architectures,"This micro-category is a specific startup lane under Hardened Avionics. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-1,3
cat13-2,Secure Processors & Chips,"This sub-category sits within Secure Embedded Systems & Avionics and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat13,2
cat13-2-1,Trusted Execution Environments,"This micro-category is a specific startup lane under Secure Processors & Chips. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-2,3
cat13-2-2,Secure Microcontrollers,"This micro-category is a specific startup lane under Secure Processors & Chips. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-2,3
cat13-2-3,Radiation-Hardened Chips,"This micro-category is a specific startup lane under Secure Processors & Chips. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-2,3
cat13-3,Mission-Critical Hardware Integration,"This sub-category sits within Secure Embedded Systems & Avionics and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat13,2
cat13-3-1,Platform Integration Systems,"This micro-category is a specific startup lane under Mission-Critical Hardware Integration. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-3,3
cat13-3-2,Secure Embedded Firmware,"This micro-category is a specific startup lane under Mission-Critical Hardware Integration. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-3,3
cat13-3-3,Real-Time Control Modules,"This micro-category is a specific startup lane under Mission-Critical Hardware Integration. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat13-3,3
cat2,Advanced ISR Technologies,"Advanced ISR technologies cover intelligence, surveillance, and reconnaissance solutions. Startups build high-resolution imaging, persistent monitoring, and signal intelligence platforms. AI-enabled data fusion improves situational awareness in real time. These systems often operate across satellite, airborne, and ground sensors. Civil applications include infrastructure monitoring and maritime tracking. The category directly supports modern command and control capabilities.",,1
cat2-1,Airborne ISR Platforms,"This sub-category sits within Advanced ISR Technologies and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat2,2
cat2-1-1,Persistent Aerial Surveillance,"This micro-category is a specific startup lane under Airborne ISR Platforms. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-1,3
cat2-1-2,Signals Intelligence Payloads,"This micro-category is a specific startup lane under Airborne ISR Platforms. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-1,3
cat2-1-3,Real-Time Data Fusion Systems,"This micro-category is a specific startup lane under Airborne ISR Platforms. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-1,3
cat2-2,Ground-Based ISR,"This sub-category sits within Advanced ISR Technologies and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat2,2
cat2-2-1,Border Surveillance Towers,"This micro-category is a specific startup lane under Ground-Based ISR. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat2-2,3
