id,name,website_url,x,y,category_id,year_founded,total_funding,hq_country,hq_city,contact_person,description,user_group
s76,Umbra Port,https://umbra-port.io,497.2,306.3,cat2,2016,566185,USA,Atlanta,Blake Williams,Umbra Port provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s77,Tech View,https://tech-view.io,460.7,292.1,cat2,2019,693309,USA,San Francisco,Sam Thomas,Tech View provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s78,Cloud Now,https://cloud-now.io,507.5,314.8,cat2,2016,6787873,Netherlands,Atlanta,Dakota Jones,Cloud Now provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s79,Vertex Port,https://vertex-port.io,474.7,309.9,cat2,2020,14192823,USA,Austin,Emery Jones,Vertex Port provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s80,Luma Pulse,https://luma-pulse.io,469.6,285.7,cat2,2020,16986743,Israel,Tel Aviv,Taylor Thomas,Luma Pulse provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s81,Echo Scope,https://echo-scope.io,487.2,248.6,cat2,2023,582022,USA,Austin,Alex Martinez,Echo Scope provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s82,Frost Vault,https://frost-vault.io,446.8,238.3,cat2,2020,19164152,USA,Toronto,Avery Martinez,Frost Vault provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s83,Umbra One,https://umbra-one.io,501.5,315.1,cat2,2021,2166432,USA,Toronto,Avery Moore,Umbra One provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s84,Forge One,https://forge-one.io,495.9,253.5,cat2,2018,75203828,Singapore,Amsterdam,Dakota Rodriguez,Forge One provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s85,Terra Flow,https://terra-flow.io,406.2,258.7,cat2,2020,24124048,USA,Atlanta,Sam Davis,Terra Flow provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s86,Haven X,https://haven-x.io,491.8,242.7,cat2,2020,79000379,Singapore,Paris,Taylor Williams,Haven X provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s87,Smart View,https://smart-view.io,513.1,286.8,cat2,2016,2005736,USA,Atlanta,Casey Brown,Smart View provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s88,Spark Yard,https://spark-yard.io,480.8,286.8,cat2,2021,32958398,USA,Philadelphia,Cameron Smith,Spark Yard provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s89,Umbra Yard,https://umbra-yard.io,481.6,293.1,cat2,2022,85895546,USA,Atlanta,Taylor Johnson,Umbra Yard provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s90,Prism Data,https://prism-data.io,480.4,267.6,cat2,2017,32273428,UK,Atlanta,Skyler Johnson,Prism Data provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s91,Prime Vault,https://prime-vault.io,490.5,284.9,cat2,2016,22459057,USA,Singapore,Riley Garcia,Prime Vault provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s92,Frost Tide,https://frost-tide.io,475.3,297.7,cat2,2018,11600874,USA,San Diego,Casey Anderson,Frost Tide provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s93,Glint Path,https://glint-path.io,498.7,232.1,cat2,2022,2113363,USA,San Diego,Riley Moore,Glint Path provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s94,Spark Zone,https://spark-zone.io,445.6,288.3,cat2,2018,11251067,USA,Denver,Casey Miller,Spark Zone provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s95,Vector Cloud,https://vector-cloud.io,459.4,277.7,cat2,2016,72968538,Singapore,Denver,Blake Martinez,Vector Cloud provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s96,Xylo 360,https://xylo-360.io,503.2,257.7,cat2,2023,25561610,Canada,Los Angeles,Avery Thomas,Xylo 360 provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s97,Jade Wave,https://jade-wave.io,469.2,272.6,cat2,2023,26572597,Germany,San Diego,Skyler Martinez,Jade Wave provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s98,Vertex Tech,https://vertex-tech.io,504.3,271.8,cat2,2023,171926124,Canada,London,Emery Smith,Vertex Tech provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s99,Acme View,https://acme-view.io,465.2,298.4,cat2,2016,10240280,USA,Los Angeles,Casey Smith,Acme View provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s100,Atlas Forge,https://atlas-forge.io,489,283.9,cat2,2023,43160785,USA,Chicago,Dakota Rodriguez,Atlas Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s101,Umbra Plus,https://umbra-plus.io,495,261.1,cat2,2023,656718,Singapore,New York,Casey Johnson,Umbra Plus provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s102,Crest AI,https://crest-ai.io,509.5,285.4,cat2,2021,1664444,Germany,San Francisco,Jordan Williams,Crest AI provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s103,Haven Hub,https://haven-hub.io,448.4,281.8,cat2,2019,434621,France,San Diego,Dakota Jackson,Haven Hub provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s104,Atlas Rise,https://atlas-rise.io,469.1,283.6,cat2,2022,13481824,Canada,Austin,Casey Smith,Atlas Rise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s105,Zenith X,https://zenith-x.io,448.5,296.5,cat2,2023,9479056,Netherlands,San Francisco,Avery Martin,Zenith X provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s106,Kite AI,https://kite-ai.io,440.4,268.2,cat2,2019,9651370,USA,Tel Aviv,Dakota Smith,Kite AI provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s107,Vertex Node,https://vertex-node.io,486.2,261.6,cat2,2016,606866,Netherlands,Toronto,Taylor Thompson,Vertex Node provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s108,Data Forge,https://data-forge.io,495.5,282.9,cat2,2019,21257444,Canada,Singapore,Quinn Lee,Data Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s109,Lens Max,https://lens-max.io,489.5,298.1,cat2,2016,1342585,USA,Los Angeles,Quinn White,Lens Max provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s110,Forge Stack,https://forge-stack.io,542.6,275.2,cat2,2020,82272240,UK,New York,Drew Thompson,Forge Stack provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s111,Warp Edge,https://warp-edge.io,441.9,268.8,cat2,2022,2890015,France,Denver,Cameron Brown,Warp Edge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s112,Vault Pro,https://vault-pro.io,435.5,283.2,cat2,2020,79768428,UK,Singapore,Taylor Wilson,Vault Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s113,Nexus Unit,https://nexus-unit.io,347.4,390,cat3,2018,28372089,Germany,Tel Aviv,Alex Lee,Nexus Unit provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s114,Jade Lite,https://jade-lite.io,349.8,482.8,cat3,2022,2472317,France,Austin,Taylor Moore,Jade Lite provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s115,Iris Stack,https://iris-stack.io,374.5,428.3,cat3,2016,128411070,Singapore,Portland,Taylor Brown,Iris Stack provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s116,Orbit Pro,https://orbit-pro.io,357,441.1,cat3,2019,28094162,USA,San Francisco,Cameron Taylor,Orbit Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s117,Flow Lite,https://flow-lite.io,328.9,481.7,cat3,2019,11837584,USA,Tel Aviv,Pat Williams,Flow Lite provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s118,Haven Mesh,https://haven-mesh.io,330,454.8,cat3,2021,33639371,Canada,Philadelphia,Cameron Martinez,Haven Mesh provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s119,Zenith Pro,https://zenith-pro.io,333.6,444.3,cat3,2020,66843479,USA,Miami,Finley Jones,Zenith Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s120,Spark Beam,https://spark-beam.io,369.4,461.8,cat3,2023,144504645,Australia,Philadelphia,Finley Martinez,Spark Beam provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s121,Quantum Tide,https://quantum-tide.io,335.7,438.6,cat3,2018,4767777,USA,San Francisco,Quinn White,Quantum Tide provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s122,Data Base,https://data-base.io,442.6,453.2,cat3,2020,610034,Israel,Sydney,Emery Smith,Data Base provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s123,Haven Quest,https://haven-quest.io,380.2,450.4,cat3,2022,591655,USA,San Francisco,Emery Lee,Haven Quest provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
